,Conditions,R2s
0,H37Rv_1B_1,0.05708643420025677
1,H37Rv_1B_2,0.05612092632991365
2,H37Rv_1B_3,0.05608675694971215
3,H37Rv_2G1B_1,0.07626560457728475
4,H37Rv_2G1B_2,0.07756645894302255
5,H37Rv_2G1B_3,0.0744628202746673
6,H37Rv_4G_1,0.0579957470935873
7,H37Rv_4G_2,0.055786355032451225
8,H37Rv_4G_3,0.05500363012919867
9,H37Rv_HiFe_1,0.08297519553479918
10,H37Rv_HiFe_2,0.08348023734500609
11,H37Rv_HiFe_3,0.07780185494039259
12,H37Rv_LoFe_1D_1,0.07686178524991669
13,H37Rv_LoFe_1D_2,0.07730143318907161
14,H37Rv_LoFe_1D_3,0.07539316696040266
15,H37Rv_LoFe_1W_1,0.07305304337829127
16,H37Rv_LoFe_1W_2,0.06834270989420899
17,H37Rv_LoFe_1W_3,0.06542367066617466
18,H37Rv_TOL_1,0.08512072030339825
19,H37Rv_TOL_2,0.08518300224144162
20,H37Rv_TOL_LpH_1,0.06368604638180264
21,H37Rv_TOL_LpH_2,0.05619321173264519
22,W_1,0.07608647030014234
23,W_2,0.07528986347838207
24,W_3,0.07690580563984847
25,W_D516V_1,0.07410546399406345
26,W_D516V_2,0.07174677012483296
27,W_D516V_3,0.07084564952308955
28,W_H526D_1,0.06797487781606612
29,W_H526R_1,0.07073908814734452
30,W_H526R_2,0.07606482981485133
31,W_H526R_3,0.07180931789878123
32,W_S531L_1,0.08096911151301435
33,W_S531L_2,0.0816491664880222
34,W_S531L_3,0.07831780047855423
