,Partial,P-Val,Significant
Glucose,-0.00111844890225616,0.962022071516204,No
LB,0,0,Yes
Glycerol + AA,0.0122925604211657,0.6007260612469760,No
Acetate,0.0568532638597759,0.0154183706681521,Yes
Fumarate,0.0091462168987349,0.6969844843000840,No
Glucosamine,0.0174233121599377,0.4581920944170030,No
Glycerol,-0.0073186450664076,0.7553564942120990,No
Pyruvate,-0.0216300193166359,0.3570647072833090,No
Chemostat m=0.5,-0.0540688960664380,0.0212459245717864,Yes
Chemostat m=0.35,-0.0306066084671982,0.1924605009327410,No
Chemostat m=0.20,-0.0248257675684278,0.2904742105107610,No
Chemostat m=0.12,-0.0283341556651843,0.2276149489860260,No
Stationary phase 1 day,0.0448080582785033,0.0563146177171026,No
Stationary phase 3 days,0.0430813392485248,0.0665095579089542,No
Osmotic-stress glucose,0.0817759220542419,0.0004878755800620,Yes
42C glucose,-0.0263725638496548,0.2614516046025160,No
pH6 glucose,0.0368046731494200,0.1170133830642930,No
Xylose,-0.0079352370388204,0.7354868781980710,No
Mannose,0.0065769422725487,0.7794727012456400,No
Galactose ,0.0176604447274647,0.4520961666699960,No
Succinate,-0.0139379583321676,0.5529027646373060,No
Fructose,-0.0479662683983536,0.0410260695425439,Yes
