,Accounted for,gluc_exp,gluc_sta,gluc_latesta,glyc_exp,glyc_sta,nacl_100_exp,nacl_300_exp,nacl_100_sta,nacl_300_sta,lact_exp,lact_sta,gluconate_exp,gluconate_sta,mgso4_0.08_exp,mgso4_0.08_sta,mgso4_8_exp,mgso4_400_exp,mgso4_8_sta,mgso4_400_sta,mgso4_0.005_exp,mgso4_0.005_sta
0,gluc_exp,0,0.012614535,0.050960205,0.036120636,0.022302828,0.083557298,-0.128140796,-0.033448652,-0.046252868,-0.132706361,-0.026743358,-0.0739564,-0.011503619,0.061564633,0.008685708,0.075417822,-0.161842149,0.008618849,-0.112494348,0.040232768,-0.01530262
1,gluc_sta,-0.390806664,0,-0.096838491,-0.341417869,-0.251065553,-0.102754355,-0.407996561,-0.156700989,-0.3316801,-0.410734782,-0.314759388,-0.39038439,-0.197499639,-0.296432791,-0.181460901,-0.299443821,-0.418732342,-0.042797869,-0.378683927,-0.334814258,-0.192799827
2,gluc_latesta,-0.387287325,-0.061212209,0,-0.336744967,-0.259286913,-0.099508086,-0.405661797,-0.149652589,-0.328139181,-0.40173757,-0.303553316,-0.382286126,-0.173052997,-0.287610156,-0.163625181,-0.290864822,-0.416712666,-0.058812798,-0.379305552,-0.32673758,-0.18178614
3,glyc_exp,-0.210133222,0.047062199,0.065538669,0,0.030477645,0.145270538,-0.243547471,-0.015169959,-0.10568641,-0.24291199,-0.041969779,-0.204869996,0.011692221,0.036750187,0.027929965,0.007458318,-0.262415075,0.039873728,-0.185120366,-0.065926155,-0.011935229
4,glyc_sta,-0.316799051,0.069173959,0.121825175,-0.245837112,0,0.026261399,-0.339797087,-0.039670118,-0.227486329,-0.339383336,-0.179591109,-0.314793604,-0.030538439,-0.184634703,-0.003826111,-0.187674969,-0.353793177,0.0501987,-0.296023192,-0.240759652,-0.067458669
5,nacl_100_exp,-0.398548828,-0.104623926,-0.12603017,-0.365553986,-0.244022317,0,-0.418423892,-0.172178394,-0.333904685,-0.407967092,-0.31464772,-0.389606606,-0.18945859,-0.308528486,-0.183187608,-0.307317201,-0.428307924,-0.095406511,-0.383224617,-0.340641684,-0.199500506
6,nacl_300_exp,-0.021621761,0.020239395,0.061595337,0.034682584,0.036542378,0.101763911,0,-0.020981329,0.001650483,-0.112956098,-0.009478072,-0.071739091,0.013072122,0.054354467,0.01374861,0.063968646,-0.109243836,0.015308034,-0.064227657,0.034708817,-0.00065701
7,nacl_100_sta,-0.370152153,-0.074200524,-0.09453839,-0.312285097,-0.204091829,-0.101525943,-0.387568055,0,-0.299644012,-0.392277195,-0.266713596,-0.371716075,-0.158994685,-0.270081433,-0.143404012,-0.273686478,-0.398417491,-0.054725837,-0.350171427,-0.312081625,-0.163254611
8,nacl_300_sta,-0.229919201,0.055993023,0.078532103,-0.139130947,0.006480053,0.066359294,-0.25687262,0.003178054,0,-0.267250158,-0.084808358,-0.240007083,0.002384725,-0.090665026,0.01332976,-0.093549874,-0.274870079,0.045744038,-0.198370342,-0.151283605,-0.006124456
9,lact_exp,-0.041100247,-0.055763727,-0.005231849,-0.0297684,-0.03208713,-0.000683186,-0.113006427,-0.069074682,-0.076403598,0,-0.063234039,-0.03215984,-0.071667422,-0.017625467,-0.052988914,-0.009882698,-0.147380361,-0.051380066,-0.133384115,-0.020024849,-0.057262046
10,lact_sta,-0.265778861,0.105987613,0.096230876,-0.173179182,-0.007848273,0.103771916,-0.291373824,-0.009962168,-0.164965099,-0.297431323,0,-0.268952413,0.051847264,-0.120492215,0.036572767,-0.126605659,-0.306927389,0.082521558,-0.23766307,-0.183982138,-0.002604921
11,gluconate_exp,-0.085942048,-0.041198516,-0.003388747,-0.030845303,-0.031921288,0.024314084,-0.151363454,-0.066211924,-0.095115964,-0.137334558,-0.06679832,0,-0.059276684,-0.000766476,-0.038486926,0.004730872,-0.178132299,-0.035780569,-0.149160943,-0.009920078,-0.060368738
12,gluconate_sta,-0.348808587,0.061652832,-0.009693994,-0.286871185,-0.157953408,-0.013555783,-0.368400544,-0.094478092,-0.272967962,-0.37416739,-0.240826939,-0.350638998,0,-0.238477167,-0.073510128,-0.24163404,-0.38029931,0.029064111,-0.329756838,-0.285469752,-0.116721062
13,mgso4_0.08_exp,-0.272934744,-0.003927287,0.007076827,-0.175025896,-0.055060786,0.087457556,-0.297490164,-0.05583216,-0.171067891,-0.293381921,-0.124807314,-0.263019008,-0.050677754,0,-0.030279619,-0.078663733,-0.316137776,-0.000952542,-0.240637523,-0.162140049,-0.060221289
14,mgso4_0.08_sta,-0.353209982,0.032922062,-0.020200897,-0.293536835,-0.165957753,-0.036645832,-0.372590955,-0.087705233,-0.279246022,-0.375592598,-0.245140276,-0.352562485,-0.094651942,-0.242253471,0,-0.245111142,-0.38492264,0.027920945,-0.335488346,-0.288684483,-0.122417668
15,mgso4_8_exp,-0.272806971,0.001546609,0.011076573,-0.16568459,-0.047163046,0.069715504,-0.296199314,-0.057022542,-0.166911606,-0.289939009,-0.123027531,-0.259523772,-0.046855536,-0.064932834,-0.020391715,0,-0.320523695,0.005358247,-0.235355435,-0.157598363,-0.058357522
16,mgso4_400_exp,-0.01394223,0.029251594,0.066857906,0.033825732,0.045940454,0.101463495,-0.041780516,-0.016337778,-0.006542451,-0.107804912,-0.007217219,-0.062937158,0.016523221,0.072930711,0.028920097,0.101824427,0,0.026998075,-0.018019371,0.037301473,0.008502328
17,mgso4_8_sta,-0.402298222,-0.112483995,-0.140831894,-0.354395283,-0.266612051,-0.139500367,-0.41875156,-0.180814381,-0.3445854,-0.421102847,-0.323810731,-0.401545023,-0.215877603,-0.312646028,-0.207654881,-0.315529852,-0.429154208,0,-0.389267652,-0.348741134,-0.218119957
18,mgso4_400_sta,-0.166701771,0.068160054,0.103999459,-0.080261355,0.043472833,0.090979016,-0.187192401,0.005150512,-0.058459831,-0.219708699,-0.032347901,-0.188089273,0.031107622,-0.038472903,0.040902425,-0.028244339,-0.20308827,0.057314232,0,-0.098503089,0.032366757
19,mgso4_0.005_exp,-0.217871534,-0.018215684,0.000370294,-0.086511281,-0.038193267,0.066131186,-0.249563179,-0.056927592,-0.133542565,-0.248025018,-0.09415798,-0.210180054,-0.049160624,0.006012607,-0.02915293,-0.022973612,-0.268376637,-0.014539527,-0.201178619,0,-0.056503693
20,mgso4_0.005_sta,-0.346796745,-0.014402599,-0.03998065,-0.284155853,-0.163808849,-0.050459726,-0.366205043,-0.092973512,-0.270133312,-0.370047342,-0.232085485,-0.34867752,-0.109323278,-0.237223303,-0.098876424,-0.240696105,-0.378160544,-0.013131784,-0.327566816,-0.283991936,0
